Entity,Code,Year,$40 - total number of people above poverty line,$30-$40 - total number of people between poverty lines,$20-$30 - total number of people between poverty lines,$10-$20 - total number of people between poverty lines,$6.85-$10 - total number of people between poverty lines,$3.65-$6.85 - total number of people between poverty lines,$2.15-$3.65 - total number of people between poverty lines,$1-$2.15 - total number of people between poverty lines,$1 - total number of people below poverty line
Honduras,HND,1994,101273,77959,164378,650580,669147,1458410,1078576,923792,424854
Honduras,HND,1995,98066,74434,163376,677033,642259,1422348,1134075,1076745,420674
Honduras,HND,1996,83945,56889,163627,648806,640480,1406447,1197304,1068969,608347
Honduras,HND,1997,111388,82501,214252,855531,818460,1658011,1121207,896305,288049
Honduras,HND,1998,153187,107230,236184,874865,826065,1520016,976130,854498,672230
Honduras,HND,1999,129777,73863,253021,888446,814511,1582027,1060995,918716,675784
Honduras,HND,2001,221611,171154,401483,1248448,896876,1517866,955089,885227,454158
Honduras,HND,2002,180245,125721,322515,1122007,914866,1627737,1112071,1001502,522603
Honduras,HND,2003,183889,124824,296278,1001692,883566,1540933,1192003,1186278,696860
Honduras,HND,2004,190291,138690,324050,1074914,857397,1637453,1207883,1161153,691122
Honduras,HND,2005,272617,148322,371964,1121773,919169,1652821,1102570,1033563,836183
Honduras,HND,2006,265945,192439,433952,1373491,1061361,1630208,1062848,919509,694542
Honduras,HND,2007,322635,219573,491965,1444108,1096089,1876280,1136384,884353,337133
Honduras,HND,2008,315828,217685,491313,1666322,1194632,1789562,1088993,841244,375376
Honduras,HND,2009,284669,241822,582377,1816662,1277599,1853899,1089406,778898,225448
Honduras,HND,2010,314695,234844,579769,1740712,1183580,1952997,1162876,886263,261731
Honduras,HND,2011,288565,268045,502399,1753882,1305495,1982606,1164984,854868,359826
Honduras,HND,2012,245298,211719,449031,1544401,1273449,2081746,1366761,985187,483100
Honduras,HND,2013,204285,214599,521317,1730797,1338095,2217926,1289692,972596,309217
Honduras,HND,2014,237156,233712,505362,1741246,1485790,2174162,1388655,953782,235714
Honduras,HND,2015,226098,235646,516446,1849969,1432746,2248261,1421106,945769,236863
Honduras,HND,2016,261863,253261,625218,1984895,1463194,2057416,1270764,982046,372137
Honduras,HND,2017,224706,295710,558504,1998273,1526370,2231959,1287055,994310,312129
Honduras,HND,2018,211530,268551,650635,2060018,1477611,2306982,1247549,1047548,317099
Honduras,HND,2019,210022,275488,646392,2282727,1502820,2252967,1333752,971189,270758
Honduras - urban,,1986,8500,6499,17735,82718,99779,295628,344169,463227,371716
Hungary,HUN,1987,343653,946821,3922639,5113614,231200,42743,5181,2591,4299
Hungary,HUN,1989,18748,104157,407573,3768853,3546083,2545709,82512,6396,1688
Hungary,HUN,1991,415078,830156,2236808,5449228,743238,447007,78049,70953,102883
Hungary,HUN,1993,252544,311432,1330106,6096023,1872122,443064,32867,8849,10516
Hungary,HUN,1994,466453,626162,1599523,5094368,1503222,802866,122377,77160,51224
Hungary,HUN,1998,76387,165776,806297,5131440,2728002,1254719,99127,4822,0
Hungary,HUN,1999,86926,168921,800503,5000088,2796224,1291933,85636,7299,0
Hungary,HUN,2000,96644,174870,879970,5104458,2675761,1197438,75613,6217,0
Hungary,HUN,2001,167365,306694,1352678,5605362,1942332,757105,56040,0,0
Hungary,HUN,2002,169082,323457,1425209,5609162,1936059,680928,14711,0,0
Hungary,HUN,2003,396790,470545,1772789,5012227,1639625,768792,66947,1837,0
Hungary,HUN,2004,397652,575565,1898343,5160612,1452463,576970,45541,0,0
Hungary,HUN,2005,465055,609249,1958447,5030865,1412159,570698,40592,0,0
Hungary,HUN,2006,366981,609522,1980681,5189025,1351433,540859,32869,0,0
Hungary,HUN,2007,505038,584765,1857901,5163958,1318024,552160,73934,0,0
Hungary,HUN,2008,489938,855962,2875308,4551081,936622,305594,21548,1750,385
Hungary,HUN,2009,368719,788830,2701935,4746015,1012398,381827,16432,4367,2127
Hungary,HUN,2010,553363,842455,2691708,4433564,934500,512958,24296,6590,589
Hungary,HUN,2011,540054,842674,2775955,4385102,852532,540685,25595,6651,2479
Hungary,HUN,2012,487764,760804,2386989,4473258,1041180,670921,67130,17622,14694
Hungary,HUN,2013,585697,842308,2398947,4328238,1012178,639847,68030,17298,539
Hungary,HUN,2014,717348,844873,2783112,3998144,987294,422601,48207,19615,45274
Hungary,HUN,2015,806162,959305,2904106,3861912,923504,258622,67784,31500,30133
Hungary,HUN,2016,890541,1156150,2975518,3884828,581660,136732,56230,73004,59360
Hungary,HUN,2017,888902,1491447,2938640,3630212,442969,251299,84862,23673,35962
Hungary,HUN,2018,1205855,1615180,3111212,3149724,421348,204362,47596,7436,12851
Hungary,HUN,2019,1588954,2071903,3063020,2505929,293007,162119,56729,21817,7663
Iceland,ISL,2003,156543,75246,40898,14297,1493,775,269,0,0
Iceland,ISL,2004,157738,74763,44729,12755,909,683,0,183,314
Iceland,ISL,2005,170713,67001,45265,11766,1311,266,302,110,0
Iceland,ISL,2006,204694,60628,27412,9402,331,470,399,252,194
Iceland,ISL,2007,228683,49570,25611,6668,145,479,159,181,70
Iceland,ISL,2008,231896,49291,28955,6183,453,443,0,0,193
Iceland,ISL,2009,204952,60722,39447,11114,1312,642,0,119,191
Iceland,ISL,2010,182416,71217,48094,13729,1151,818,141,101,374
Iceland,ISL,2011,181893,66429,53460,13687,1150,1707,295,111,282
Iceland,ISL,2012,188166,65279,50276,14577,1368,685,257,0,108
Iceland,ISL,2013,194960,72628,43969,11002,659,260,134,0,152
Iceland,ISL,2014,203329,70755,39918,11664,1314,232,174,0,0
Iceland,ISL,2015,227834,59515,34636,7640,765,311,0,114,0
Iceland,ISL,2016,253506,48108,25797,7085,287,388,268,0,0
Iceland,ISL,2017,269163,47114,21615,4745,622,79,62,0,0
India,IND,1977,106134,122631,459911,5012869,9127116,57277160,168545350,340151383,71606212
India,IND,1983,7494,0,442235,6731461,12905334,81850380,225842078,361058645,60591331
India,IND,1987,198122,465454,1417661,9077808,16703411,103667721,273490808,380673853,33987257
India,IND,1993,308494,307012,921485,8787166,21441641,132390313,321390136,411784895,30072724
India,IND,2004,856542,978128,3155041,20349914,37626316,201042519,414786184,431003349,19825473
India,IND,2009,1322487,1323545,3561862,28542785,52006706,259593909,471143312,385957368,14274243
India,IND,2011,1985171,2167333,7165452,41170500,74067656,344825888,497187789,275278994,6439156
India,IND,2015,1242014,1827007,7980008,57956381,76420162,366368556,552959420,237259780,8139064
India,IND,2016,1427147,2118585,8508988,58302273,79300739,382418355,552619497,231284204,8537462
India,IND,2017,2039439,3469024,12821104,75276314,102606628,414925812,548614991,172975868,5947599
India,IND,2018,1017976,2426003,11687287,93326970,127418465,483197402,483588204,144506902,5473074
India,IND,2019,3526858,4776987,16543399,82700102,113435443,533493007,475133443,133576573,3231944
India - rural,,1977,5087,0,87327,2649007,4854346,32898903,119222070,285117323,63875148
India - rural,,1983,5705,0,0,3268528,6556603,45954110,160456693,298266165,55965013
India - rural,,1987,69846,223635,682240,4424688,8429374,60442282,201796300,310150356,29993688
India - rural,,1993,154838,178139,414146,2984448,8395268,73602187,232622893,339934342,26221258
India - rural,,2004,452431,323710,1413374,7250315,14504622,109912717,305318064,348223842,15729321
India - rural,,2009,548006,554132,842005,7464053,18731354,143674092,352580567,309058508,11807582
India - rural,,2011,796244,656376,1734365,13726018,31751569,208850435,375614708,220617561,5500607
India - rural,,2015,420092,659649,2774757,23296268,36962489,230881380,391959763,187943669,5825675
India - rural,,2016,496779,678881,2934152,24502896,37200479,235409454,405970240,171016150,6806905
India - rural,,2017,254548,691297,4015873,34478507,48533619,248244573,422926673,125286227,4450064
India - rural,,2018,524255,1108608,4919937,36745051,52305679,313646267,378865597,101608843,2613877
India - rural,,2019,799308,1373041,5012834,30612757,55355008,342324382,353197822,105117843,1593232
India - urban,,1977,101047,122631,372584,2363862,4272770,24378257,49323280,55034060,7731064
India - urban,,1983,1790,0,442234,3462933,6348731,35896270,65385384,62792481,4626318
India - urban,,1987,128276,241819,735420,4653121,8274036,43225440,71694508,70523497,3993569
India - urban,,1993,153656,128872,507340,5802717,13046374,58788126,88767244,71850552,3851466
India - urban,,2004,404111,654418,1741667,13099599,23121694,91129802,109468120,82779507,4096152
India - urban,,2009,774480,769414,2719857,21078732,33275352,115919817,118562745,76898860,2466661
India - urban,,2011,1188927,1510957,5431087,27444482,42316087,135975453,121573081,54661433,938549
India - urban,,2015,821922,1167358,5205251,34660113,39457672,135487177,160999657,49316111,2313389
India - urban,,2016,930368,1439704,5574836,33799377,42100260,147008901,146649257,60268054,1730557
India - urban,,2017,1784892,2777727,8805231,40797806,54073009,166681239,125688317,47689641,1497536
India - urban,,2018,493721,1317395,6767350,56581919,75112786,169551135,104722606,42898060,2859197
India - urban,,2019,2727550,3403946,11530564,52087345,58080435,191168626,121935621,28458730,1638712
Indonesia,IDN,1984,1615,0,31366,540521,1501829,10147142,29505079,83600700,36195101
Indonesia,IDN,1987,1717,18713,30245,705661,1368347,9333454,32636447,96138336,31469836
Indonesia,IDN,1990,1814,0,166330,1197243,2958431,17348255,45902158,96684443,17154724
Indonesia,IDN,1993,30017,34558,163174,1654747,3120639,18779922,48555698,102975532,15536897
Indonesia,IDN,1996,111894,143882,427391,2907307,5611718,28395220,59789269,92880623,9633927
Indonesia,IDN,1998,40230,32035,77104,824646,2209818,15977970,44358114,116128869,26075811
Indonesia,IDN,1999,91381,47775,195030,1984279,4782483,30953646,74664077,90308783,5587717
Indonesia,IDN,2000,36884,44012,193036,2011059,4355256,32223562,80422751,87993717,4233545
Indonesia,IDN,2001,40986,66033,247411,2589381,5564562,35785863,84634268,82657517,2841398
Indonesia,IDN,2002,8815,225049,938723,5829022,10709739,52476944,88930293,57400717,838488
Indonesia,IDN,2003,7813,196585,678411,6231195,12645252,56287208,85996010,57251918,1015081
Indonesia,IDN,2004,110044,221523,522560,7065988,11889297,56660596,86495342,58501516,1818800
Indonesia,IDN,2005,170253,280815,828451,6710440,13449448,61236005,87847656,53614532,2151868
Indonesia,IDN,2006,111212,162129,771657,6300679,12339107,53486474,86006577,65725013,4415414
Indonesia,IDN,2007,284372,393339,1265224,9446935,16609578,63043809,82658676,57105081,1567225
Indonesia,IDN,2008,247291,354130,1312411,8999482,17119310,66791495,82374003,56865920,1405713
Indonesia,IDN,2009,264994,396077,1444341,9990967,18421304,70863588,87229568,49109825,899890
Indonesia,IDN,2010,353017,503625,1893402,15140780,24458036,76940107,78403038,43454631,687590
Indonesia,IDN,2011,836670,839727,3288532,19199477,26523951,77711207,78250171,37961244,505009
Indonesia,IDN,2012,1033507,1049307,3647352,20354320,27322001,80609012,80310584,33914569,211062
Indonesia,IDN,2013,1113645,1387885,4217683,24876064,28449893,82044366,81566975,27969502,179301
Indonesia,IDN,2014,1365054,1301788,4581934,25177461,31526164,87943339,79602582,23581842,47912
Indonesia,IDN,2015,1910933,1736939,4541181,25936041,35770042,95870201,71233379,21238962,145579
Indonesia,IDN,2016,1484088,2132147,4853720,31820293,42753221,91019642,67831138,19523568,138569
Indonesia,IDN,2017,1453799,1707339,6200323,37435630,45149091,94144104,61045162,17428272,87249
Indonesia,IDN,2018,1502562,2008130,6473590,41490171,47993776,97507876,56175190,14486178,33076
Indonesia,IDN,2019,1487262,1690541,6591869,42553165,50731974,100811034,54904768,11836030,18924
Indonesia,IDN,2020,1654043,1954547,7298578,43835405,52812250,101791162,53697937,10467527,12172
Indonesia,IDN,2021,1841163,2277781,7760660,44084015,52818371,105691879,52084139,9801176,2604
Indonesia - rural,,1984,1207,0,0,0,498447,3945787,15720200,67059093,33523664
Indonesia - rural,,1987,1239,18713,30245,181472,393188,3311854,17602731,74562083,27807769
Indonesia - rural,,1990,1259,0,0,0,844236,6263203,26776115,76602361,15442750
Indonesia - rural,,1993,1818,1162,6449,194773,463722,5528505,26496370,79944869,13690548
Indonesia - rural,,1996,7345,16530,42211,325329,1028819,9248885,34471466,71894290,8433133
Indonesia - rural,,1998,4287,2853,6606,78900,233027,3568788,19043719,80024368,21309509
Indonesia - rural,,1999,3129,2752,12208,255130,771280,10157523,42374110,65265617,4675121
Indonesia - rural,,2000,755,4431,20066,197882,834567,11007286,44508852,62714334,3385613
Indonesia - rural,,2001,5469,8059,26415,266256,890831,11148133,47500021,60483323,2360429
Indonesia - rural,,2002,0,11569,19937,614371,2197548,19841382,53185817,45964335,824389
Indonesia - rural,,2003,0,0,16859,575224,2101064,21748405,52847417,44550087,749947
Indonesia - rural,,2004,16143,0,5992,670088,1890960,21053883,51786900,45518398,1532057
Indonesia - rural,,2005,21656,27865,140131,885108,3008255,22846774,51898819,41715344,1783609
Indonesia - rural,,2006,0,22388,84088,909843,2386281,17767031,48330843,48860067,3778952
Indonesia - rural,,2007,39095,34810,93932,1384529,3760942,24781867,48068757,42421660,1329552
Indonesia - rural,,2008,23839,37561,128508,1350797,4052045,26282136,48184630,40356426,1239507
Indonesia - rural,,2009,46693,50613,169373,1632544,4385744,28637370,51400301,34337230,716863
Indonesia - rural,,2010,63127,59263,231748,2457084,7262588,35824133,44540372,30122902,563873
Indonesia - rural,,2011,95409,127487,452492,4466631,9155177,36647688,43999173,25737643,417854
Indonesia - rural,,2012,127493,102897,400718,4293719,9259716,38168343,45882556,22673794,146377
Indonesia - rural,,2013,107143,103157,451457,4399488,10430795,41268069,46188786,17913498,117470
Indonesia - rural,,2014,108849,167206,584648,4948287,11575258,45004107,44028473,14389505,35080
Indonesia - rural,,2015,215107,240625,900510,5884084,13690494,47597624,39771041,12223238,108668
Indonesia - rural,,2016,112458,175342,865579,7185170,15446781,48230841,36835620,11365901,127017
Indonesia - rural,,2017,132267,156627,718364,8679776,20178623,47270529,32760622,10031679,66909
Indonesia - rural,,2018,161335,225735,863675,10230484,21868544,47126556,30547343,8536937,21209
Indonesia - rural,,2019,173655,215762,850277,10129007,22629094,48461150,29637571,7007236,12091
Indonesia - rural,,2020,162116,216071,973089,11125198,22979439,48750111,28364405,6014506,12172
Indonesia - rural,,2021,153883,214502,997751,12497519,22684884,49584196,26444461,5454320,2604
Indonesia - urban,,1984,408,0,31365,540522,1003381,6201357,13784879,16541607,2671436
Indonesia - urban,,1987,478,0,0,524189,975159,6021600,15033716,21576252,3662068
Indonesia - urban,,1990,555,0,166329,1197243,2114196,11085051,19126044,20082082,1711974
Indonesia - urban,,1993,28199,33396,156725,1459974,2656917,13251417,22059328,23030663,1846349
Indonesia - urban,,1996,104549,127352,385180,2581978,4582899,19146336,25317802,20986334,1200793
Indonesia - urban,,1998,35944,29181,70497,745747,1976791,12409182,25314395,36104502,4766301
Indonesia - urban,,1999,88252,45023,182821,1729149,4011204,20796123,32289967,25043166,912596
Indonesia - urban,,2000,36128,39582,172970,1813177,3520690,21216274,35913900,25279383,847932
Indonesia - urban,,2001,35516,57974,220998,2323124,4673731,24637730,37134247,22174194,480969
Indonesia - urban,,2002,8815,213480,918785,5214652,8512192,32635561,35744475,11436383,14099
Indonesia - urban,,2003,7813,196585,661552,5655971,10544188,34538803,33148593,12701830,265135
Indonesia - urban,,2004,93901,221523,516568,6395900,9998337,35606712,34708443,12983119,286742
Indonesia - urban,,2005,148598,252949,688320,5825332,10441193,38389231,35948837,11899187,368260
Indonesia - urban,,2006,111212,139741,687569,5390837,9952825,35719443,37675733,16864947,636462
Indonesia - urban,,2007,245277,358529,1171292,8062405,12848637,38261943,34589918,14683422,237672
Indonesia - urban,,2008,223452,316569,1183903,7648685,13067265,40509359,34189373,16509493,166207
Indonesia - urban,,2009,218300,345465,1274968,8358422,14035561,42226218,35829268,14772594,183027
Indonesia - urban,,2010,289889,444363,1661653,12683697,17195448,41115974,33862665,13331730,123717
Indonesia - urban,,2011,741261,712240,2836040,14732846,17368774,41063519,34250999,12223599,87156
Indonesia - urban,,2012,906015,946410,3246633,16060601,18062285,42440670,34428027,11240776,64684
Indonesia - urban,,2013,1006502,1284728,3766225,20476577,18019098,40776296,35378190,10056004,61831
Indonesia - urban,,2014,1256205,1134582,3997287,20229173,19950906,42939232,35574109,9192337,12832
Indonesia - urban,,2015,1695826,1496315,3640670,20051957,22079549,48272575,31462339,9015725,36910
Indonesia - urban,,2016,1371630,1956805,3988142,24635122,27306441,42788800,30995519,8157666,11552
Indonesia - urban,,2017,1321532,1550711,5481960,28755854,24970468,46873575,28284540,7396593,20340
Indonesia - urban,,2018,1341227,1782395,5609915,31259687,26125232,50381320,25627847,5949241,11867
Indonesia - urban,,2019,1313606,1474780,5741592,32424158,28102879,52349886,25267195,4828795,6833
Indonesia - urban,,2020,1491928,1738475,6325489,32710207,29832810,53041052,25333532,4453021,0
Indonesia - urban,,2021,1687279,2063280,6762910,31586495,30133487,56107684,25639677,4346856,0
Iran,IRN,1986,1098709,880217,2437519,10091287,8669005,13838141,7743473,4181355,320557
Iran,IRN,1990,835372,755407,2231295,10803186,10529127,17255039,9204457,4278902,473427
Iran,IRN,1994,1231463,1095645,3180959,14098809,12053409,17698904,8518850,2599285,113284
Iran,IRN,1998,1652607,1452422,4036467,15915968,12250458,17180492,8588250,2841930,53242
Iran,IRN,2005,4594806,3884491,8493584,23698342,12694226,12403520,3281088,683054,29234
Iran,IRN,2006,5389103,3941199,8821344,22872764,12095224,13169281,3666763,579350,19728
Iran,IRN,2009,4483325,4262499,9802960,24835995,12975971,12157096,3319075,917343,170569
Iran,IRN,2013,3409077,3416063,9415537,29771455,16084387,12239011,1940925,199868,5640
Iran,IRN,2014,3380319,3488544,9374129,29274212,15567164,12946754,2820144,596868,17635
